buffer_distance_m,tp_length_m,fp_length_m,fn_length_m,tp_count,fp_count,fn_count,ml_total_length_m,osm_total_length_m,precision,recall,f1_score,iou,tile_id,xtile,ytile,lat,lon,ml_count,osm_count,building_coverage_pct,building_count,avg_building_size_m2,building_density_per_km2,total_building_area_m2,open_space_ratio,tile_area_m2,error_rate,false_positive_rate,false_negative_rate,area_type
5.0,283.11,0.0,0.0,16.0,0.0,0.0,283.11,221.98,1.0,1.0,1.0,1.0,0,158638,193925,42.355753199481114,-71.07158660888672,16,226,58.17,7,264.94,2195.53,1854.61,0.4183,3188.29,0.0,0.0,0.0,Medium Density
5.0,378.85,0.0,0.0,15.0,0.0,0.0,378.85,229.68,1.0,1.0,1.0,1.0,1,158638,193926,42.3552457829835,-71.07158660888672,15,232,26.44,1,843.14,313.64,843.14,0.7356,3188.34,0.0,0.0,0.0,Low Density
5.0,409.6,0.0,5.0,18.0,0.0,5.0,409.6,243.73,1.0,0.9879,0.9939,0.9879,2,158638,193927,42.35473836238896,-71.07158660888672,18,247,28.66,3,304.58,940.91,913.75,0.7134,3188.39,0.006099999999999994,0.0,0.012059816690786299,Low Density
5.0,287.12,0.0,0.0,11.0,0.0,0.0,287.12,223.92,1.0,1.0,1.0,1.0,3,158638,193928,42.35423093769748,-71.07158660888672,11,226,47.69,4,380.13,1254.53,1520.51,0.5231,3188.44,0.0,0.0,0.0,Medium Density
5.0,391.37,0.0,17.78,28.0,0.0,18.0,391.37,356.31,1.0,0.9565,0.9778,0.9565,4,158638,193929,42.35372350890908,-71.07158660888672,28,363,66.79,12,177.46,3763.53,2129.5,0.3321,3188.5,0.022199999999999998,0.0,0.04345594525235244,High Density
5.0,329.96,10.31,0.0,10.0,2.0,0.0,340.27,137.76,0.9697,1.0,0.9846,0.9697,5,158638,193930,42.35321607602376,-71.07158660888672,12,142,46.53,8,185.44,2508.98,1483.5,0.5347,3188.55,0.01539999999999997,0.030299468069474245,0.0,Medium Density
5.0,207.21,0.0,0.0,7.0,0.0,0.0,207.21,128.79,1.0,1.0,1.0,1.0,6,158638,193931,42.35270863904154,-71.07158660888672,7,130,50.51,5,322.09,1568.09,1610.43,0.4949,3188.6,0.0,0.0,0.0,Medium Density
5.0,64.54,0.0,25.48,1.0,0.0,27.0,64.54,63.7,1.0,0.7169,0.8351,0.7169,7,158638,193932,42.35220119796242,-71.07158660888672,1,66,6.98,2,111.26,627.22,222.52,0.9302,3188.65,0.16490000000000005,0.0,0.28304821150855364,Open
5.0,347.2,0.0,0.0,17.0,0.0,0.0,347.2,253.02,1.0,1.0,1.0,1.0,8,158639,193925,42.355753199481114,-71.0708999633789,17,256,61.75,5,393.78,1568.24,1968.91,0.3825,3188.29,0.0,0.0,0.0,High Density
5.0,280.86,0.0,0.0,14.0,0.0,0.0,280.86,172.03,1.0,1.0,1.0,1.0,9,158639,193926,42.3552457829835,-71.0708999633789,14,173,18.66,1,594.92,313.64,594.92,0.8134,3188.34,0.0,0.0,0.0,Low Density
5.0,195.31,0.0,0.0,9.0,0.0,0.0,195.31,151.71,1.0,1.0,1.0,1.0,10,158639,193927,42.35473836238896,-71.0708999633789,9,153,18.87,1,601.77,313.64,601.77,0.8113,3188.39,0.0,0.0,0.0,Low Density
5.0,297.69,0.0,0.0,17.0,0.0,0.0,297.69,204.09,1.0,1.0,1.0,1.0,11,158639,193928,42.35423093769748,-71.0708999633789,17,208,22.87,1,729.19,313.63,729.19,0.7713,3188.44,0.0,0.0,0.0,Low Density
5.0,424.14,0.0,0.0,30.0,0.0,0.0,424.14,266.42,1.0,1.0,1.0,1.0,12,158639,193929,42.35372350890908,-71.0708999633789,30,269,34.97,1,1115.07,313.63,1115.07,0.6503,3188.49,0.0,0.0,0.0,Medium Density
5.0,393.52,0.0,10.93,15.0,0.0,11.0,393.52,200.77,1.0,0.973,0.9863,0.973,13,158639,193930,42.35321607602376,-71.0708999633789,15,202,25.46,3,270.55,940.87,811.65,0.7454,3188.55,0.013700000000000045,0.0,0.02702435406107059,Low Density
5.0,451.3,0.0,0.0,28.0,0.0,0.0,451.3,271.15,1.0,1.0,1.0,1.0,14,158639,193931,42.35270863904154,-71.0708999633789,28,277,57.72,7,262.91,2195.32,1840.39,0.4228,3188.6,0.0,0.0,0.0,Medium Density
5.0,257.61,0.0,25.83,16.0,0.0,26.0,257.61,274.7,1.0,0.9089,0.9523,0.9089,15,158639,193932,42.35220119796242,-71.0708999633789,16,284,55.06,6,292.62,1881.68,1755.71,0.4494,3188.65,0.047699999999999965,0.0,0.09113039796782388,Medium Density
5.0,176.07,0.0,0.0,6.0,0.0,0.0,176.07,190.78,1.0,1.0,1.0,1.0,16,158640,193925,42.355753199481114,-71.0702133178711,6,192,37.05,3,393.77,940.94,1181.3,0.6295,3188.29,0.0,0.0,0.0,Medium Density
5.0,250.07,0.0,0.0,16.0,0.0,0.0,250.07,199.84,1.0,1.0,1.0,1.0,17,158640,193926,42.3552457829835,-71.0702133178711,16,201,22.8,1,727.07,313.64,727.07,0.772,3188.34,0.0,0.0,0.0,Low Density
5.0,30.01,0.0,0.0,3.0,0.0,0.0,30.01,25.98,1.0,1.0,1.0,1.0,18,158640,193927,42.35473836238896,-71.0702133178711,3,26,2.98,1,94.93,313.64,94.93,0.9702,3188.39,0.0,0.0,0.0,Open
5.0,125.87,0.0,3.99,6.0,0.0,4.0,125.87,138.25,1.0,0.9693,0.9844,0.9693,19,158640,193928,42.35423093769748,-71.0702133178711,6,143,13.19,1,420.47,313.63,420.47,0.8681,3188.44,0.015599999999999947,0.0,0.03072539658093331,Low Density
5.0,199.22,0.0,0.0,10.0,0.0,0.0,199.22,150.08,1.0,1.0,1.0,1.0,20,158640,193929,42.35372350890908,-71.0702133178711,10,152,15.18,1,484.15,313.63,484.15,0.8482,3188.49,0.0,0.0,0.0,Low Density
5.0,199.38,0.0,0.0,12.0,0.0,0.0,199.38,136.53,1.0,1.0,1.0,1.0,21,158640,193930,42.35321607602376,-71.0702133178711,12,138,17.94,1,571.99,313.62,571.99,0.8206,3188.54,0.0,0.0,0.0,Low Density
5.0,172.2,0.0,0.0,9.0,0.0,0.0,172.2,130.1,1.0,1.0,1.0,1.0,22,158640,193931,42.35270863904154,-71.0702133178711,9,131,19.47,1,620.71,313.62,620.71,0.8053,3188.6,0.0,0.0,0.0,Low Density
5.0,295.96,0.0,0.0,10.0,0.0,0.0,295.96,178.13,1.0,1.0,1.0,1.0,23,158640,193932,42.35220119796242,-71.0702133178711,10,180,69.99,3,743.91,940.84,2231.72,0.3001,3188.65,0.0,0.0,0.0,High Density
5.0,217.9,0.0,11.92,10.0,0.0,12.0,217.9,207.35,1.0,0.9482,0.9734,0.9482,24,158641,193925,42.355753199481114,-71.06952667236328,10,209,45.03,4,358.9,1254.59,1435.6,0.5497,3188.29,0.026599999999999957,0.0,0.051866678269950395,Medium Density
5.0,157.06,0.0,7.94,6.0,0.0,8.0,157.06,118.02,1.0,0.9519,0.9754,0.9519,25,158641,193926,42.3552457829835,-71.06952667236328,6,119,12.44,1,396.51,313.64,396.51,0.8756,3188.34,0.024599999999999955,0.0,0.04812121212121212,Low Density
5.0,162.7,0.0,0.0,10.0,0.0,0.0,162.7,161.6,1.0,1.0,1.0,1.0,26,158641,193927,42.35473836238896,-71.06952667236328,10,165,18.71,1,596.53,313.64,596.53,0.8129,3188.39,0.0,0.0,0.0,Low Density
5.0,253.86,0.0,2.99,15.0,0.0,3.0,253.86,252.76,1.0,0.9883,0.9941,0.9883,27,158641,193928,42.35423093769748,-71.06952667236328,15,257,21.81,1,695.27,313.63,695.27,0.7819,3188.44,0.005900000000000016,0.0,0.011641035623905003,Low Density
